;Date;Active Users;Favorites;Total Visits;Server Size;Genre;Title;Creator;gameID;Category
0;22/2/2022 9:28;1557;330071;50.9M+;8;Building;[TIER8]FactorySimulatorByGamingGloveStudios;Gaming Glove Studios;6769764667;Most Engaging
1;22/2/2022 9:28;3208;137809;30.9M+;12;All Genres;[NEWBOSS]AnimeClickersSimulatorBySimpleSimulators;Simple Simulators;3102144307;Most Engaging
2;22/2/2022 9:28;2091;2556671;725.7M+;20;Adventure;(Cosmiore☄️)LoomianLegacyByLlamaTrainStudio;Llama Train Studio;306964494;Most Engaging
3;22/2/2022 9:28;6235;711635;461.2M+;12;Fighting;[CHRISTMAS+GODUSOPP+KIRITO]ABAByDogsStudios:South;Dogs Studios: South;1458767429;Most Engaging
4;22/2/2022 9:28;7273;247852;77.2M+;15;RPG;DeepwokenByVowsbytheSea;Vows by the Sea;4111023553;Most Engaging
5;22/2/2022 9:28;23524;165191;32.4M+;12;Adventure;[UPD4.1+2x📦📕]WeaponFightingSimulatorByLightningDragonStudio;Lightning Dragon Studio;8554378337;Most Engaging
6;22/2/2022 9:28;46222;1212882;682.3M+;12;Adventure;[UPD21+3x🍀🌟]AnimeFightersSimulatorBySulley;Sulley;6299805723;Most Engaging
7;22/2/2022 9:28;2643;3331401;1.1B+;10;All Genres;[🍀MEGALUCK🍀]BubbleGumSimulatorByRumbleStudios;Rumble Studios;2512643572;Most Engaging
8;22/2/2022 9:28;806;53790;3.9M+;6;Building;SpaceTycoon🛸By@owen30650;@owen30650;7535149098;Most Engaging
9;22/2/2022 9:28;732;65940;9.8M+;30;Fighting;[Trialsof200]MightyOmegaByKengunOmega;Kengun Omega;4878988249;Most Engaging
10;22/2/2022 9:28;4389;43735;5.6M+;10;All Genres;[🎉x2Luck🎉]SwordFactoryBy@SamirDevs;@SamirDevs;7755155116;Most Engaging
11;22/2/2022 9:28;15714;680284;262.5M+;1;Adventure;[💖VALENTINES💖]GrandPieceOnlineByGrandQuestGames;Grand Quest Games;1730877806;Most Engaging
12;22/2/2022 9:28;28001;210617;71.1M+;10;All Genres;[UPD7]⚡ClickerSimulator!⚡ByPressureStudios;Pressure Studios;7560156054;Most Engaging
13;22/2/2022 9:28;846;95676;18.7M+;30;All Genres;[Grandmaster]Arena:TowerDefense[Beta]ByArenaDev;ArenaDev;7396774756;Most Engaging
14;22/2/2022 9:28;3500;67160;4.4M+;4;Fighting;[UPD3]UltimateArmyTycoon!ByZoodStudios;Zood Studios;7477552662;Most Engaging
15;22/2/2022 9:28;4537;491390;77.0M+;6;Building;BitcoinMiner[Beta]Bypolandgamebuilders;polandgamebuilders;2629642516;Most Engaging
16;22/2/2022 9:28;26658;133897;38.8M+;12;All Genres;[🔮x2]AnimePunchingSimulatorByJustGames..;Just Games..;8357510970;Most Engaging
17;22/2/2022 9:28;39741;4923246;1.8B+;6;Adventure;BeeSwarmSimulatorBy@Onett;@Onett;1537690962;Most Engaging
18;22/2/2022 9:28;2493;309940;76.7M+;50;Military;[Nukes]RiseofNationsBy@Hyperant;@Hyperant;2569453732;Most Engaging
19;22/2/2022 9:28;1901;582269;158.1M+;20;Fighting;⚡SuperPowerFightingSimulatorByGamesReborn;GamesReborn;2619187362;Most Engaging
20;22/2/2022 9:28;28004;2214145;1.4B+;5;All Genres;ShindoLifeByRELLWorld;RELL World;4616652839;Most Engaging
21;22/2/2022 9:28;8866;2756465;1.2B+;20;Fighting;NEWBOSS!😈AnimeFightingSimulatorByBlockZone;BlockZone;4042427666;Most Engaging
22;22/2/2022 9:28;6667;801812;378.5M+;50;Fighting;🖤RAIDAnimeDimensionsSimulatorByAlbatrossGames;Albatross Games;6938803436;Most Engaging
23;22/2/2022 9:28;6987;676347;189.2M+;51;All Genres;💕ARDORWARDEN!CreaturesofSonariaBySonarStudios;Sonar Studios;5233782396;Most Engaging
24;22/2/2022 9:28;4932;700341;141.5M+;60;RPG;WarriorCats:UltimateEditionByWarriorCatsRP;WarriorCatsRP;3663340706;Most Engaging
25;22/2/2022 9:28;2731;551864;141.6M+;15;All Genres;🤖[CyberCity]GiantSimulatorByMithrilGames;Mithril Games;2986677229;Most Engaging
26;22/2/2022 9:28;3596;242634;98.3M+;15;All Genres;[🔮UPDATE]StandsAwakeningByAwakened:Productions;Awakened: Productions;5780309044;Most Engaging
27;22/2/2022 9:28;1851;1540254;529.4M+;20;Fighting;[HEARTS]SaberSimulatorByHDGames.;HD Games.;3823781113;Most Engaging
28;22/2/2022 9:28;1674;1281272;226.5M+;30;Fighting;💥SuperPowerTrainingSimulatorByTheStateofMind;The State of Mind;2202352383;Most Engaging
29;22/2/2022 9:28;2947;1297783;186.5M+;12;RPG;💖World//ZeroByWorld//Zero;World // Zero;2727067538;Most Engaging
30;22/2/2022 9:28;5452;627965;87.2M+;6;Building;🙌🎉RetailTycoon2BySecondhandStudios;Secondhand Studios;5865858426;Most Engaging
31;22/2/2022 9:28;12545;2934765;1.6B+;30;All Genres;Islands🦆[DUCKS!]ByEasy.gg;Easy.gg;4872321990;Most Engaging
32;22/2/2022 9:28;57707;11339396;5.6B+;12;Town and City;WelcometoBloxburgBy@Coeptus;@Coeptus;185655149;Popular
33;22/2/2022 9:28;57849;9565452;16.7B+;20;Adventure;TowerofHellByYXCeptionalStudios;YXCeptional Studios;1962086868;Popular
34;22/2/2022 9:28;22756;17168211;5.6B+;30;Town and City;JailbreakByBadimo;Badimo;606849621;Popular
35;22/2/2022 9:28;395448;12322440;16.0B+;18;Town and City;Brookhaven🏡RPBy@Wolfpaq;@Wolfpaq;4924922222;Popular
36;22/2/2022 9:28;55496;2101989;2.6B+;40;All Genres;BedWars🧙‍♂️[NEWENCHANTS!]ByEasy.gg;Easy.gg;6872265039;Popular
37;22/2/2022 9:28;112028;2951470;4.1B+;12;Adventure;[☀️☁️UPDATE17]BloxFruitsByGamerRobotyoutube.com/GamerRobot;Gamer Robot  youtube.com/GamerRobot;2753915549;Popular
38;22/2/2022 9:28;15086;3349647;1.1B+;18;All Genres;{BLOXXIN/4v4}FunkyFridayByLyteInteractive;Lyte Interactive;6447798030;Popular
39;22/2/2022 9:28;44377;395273;123.7M+;30;Adventure;FindtheMarkers(150)Bymarkersepicmemers;markers epic memers;7896264844;Popular
40;22/2/2022 9:28;36943;14171476;13.0B+;200;Town and City;❄️MeepCity❄️By@alexnewtron;@alexnewtron;370731277;Popular
41;22/2/2022 9:28;63742;2512518;1.5B+;25;Town and City;Livetopia🏡Newhouse!ByCenturyMakers;Century Makers;6737970321;Popular
